Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,Profile
0,9,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,1.0,1.0,3.0,yes,Promoter
1,1,Solo Leisure,Economy Class,2.0,2.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
2,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
3,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
4,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
5,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
6,1,Business,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
7,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
8,1,Solo Leisure,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
9,8,Family Leisure,Economy Class,4.0,4.0,3.0,5.0,1.0,1.0,5.0,yes,Passive
10,1,Business,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
11,1,Family Leisure,Economy Class,4.0,1.0,1.0,4.0,1.0,1.0,1.0,no,Detractor
12,2,Solo Leisure,Economy Class,3.0,3.0,1.0,3.0,1.0,1.0,2.0,no,Detractor
13,2,Business,Economy Class,1.0,2.0,2.0,2.0,1.0,1.0,1.0,no,Detractor
14,3,Couple Leisure,Economy Class,3.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
15,1,Business,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
16,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
17,3,Solo Leisure,Economy Class,2.0,4.0,1.0,1.0,1.0,1.0,3.0,no,Detractor
18,9,Business,Economy Class,5.0,5.0,3.0,5.0,1.0,1.0,3.0,yes,Promoter
19,2,Couple Leisure,Economy Class,3.0,3.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
20,2,Family Leisure,Economy Class,3.0,4.0,1.0,1.0,1.0,1.0,2.0,no,Detractor
21,9,Business,Economy Class,5.0,5.0,4.0,5.0,4.0,1.0,4.0,yes,Promoter
22,8,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,5.0,5.0,4.0,yes,Passive
23,1,Business,Economy Class,5.0,5.0,1.0,5.0,1.0,1.0,4.0,yes,Detractor
24,8,Solo Leisure,Business Class,4.0,4.0,3.0,3.0,1.0,1.0,4.0,yes,Passive
25,5,Business,Economy Class,3.0,5.0,1.0,4.0,3.0,3.0,1.0,no,Detractor
26,2,Solo Leisure,Economy Class,1.0,1.0,2.0,3.0,1.0,1.0,1.0,no,Detractor
27,3,Solo Leisure,Economy Class,3.0,1.0,1.0,2.0,2.0,1.0,2.0,no,Detractor
28,3,Couple Leisure,Economy Class,2.0,2.0,1.0,4.0,1.0,1.0,4.0,no,Detractor
29,6,Family Leisure,Economy Class,2.0,4.0,3.0,3.0,4.0,4.0,4.0,yes,Detractor
30,3,Couple Leisure,Economy Class,4.0,5.0,1.0,1.0,1.0,1.0,3.0,no,Detractor
31,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,1.0,1.0,5.0,yes,Detractor
32,8,Business,Economy Class,4.0,4.0,3.0,5.0,1.0,1.0,4.0,yes,Passive
33,1,Solo Leisure,Economy Class,5.0,5.0,1.0,5.0,1.0,1.0,5.0,yes,Detractor
34,6,Solo Leisure,Economy Class,3.0,2.0,2.0,4.0,2.0,1.0,3.0,yes,Detractor
35,3,Solo Leisure,Economy Class,2.0,3.0,1.0,3.0,1.0,1.0,1.0,no,Detractor
36,5,Couple Leisure,Economy Class,3.0,3.0,1.0,3.0,1.0,1.0,2.0,no,Detractor
37,7,Solo Leisure,Economy Class,5.0,1.0,1.0,5.0,1.0,1.0,5.0,yes,Passive
38,9,Business,Business Class,5.0,5.0,5.0,5.0,4.0,1.0,5.0,yes,Promoter
39,5,Family Leisure,Economy Class,4.0,3.0,1.0,3.0,1.0,1.0,3.0,no,Detractor
40,6,Family Leisure,Economy Class,4.0,5.0,1.0,5.0,1.0,1.0,2.0,yes,Detractor
41,1,Family Leisure,Economy Class,5.0,5.0,1.0,5.0,1.0,1.0,4.0,yes,Detractor
42,7,Solo Leisure,Economy Class,4.0,4.0,4.0,1.0,0.0,1.0,4.0,yes,Passive
43,1,Solo Leisure,Business Class,4.0,5.0,4.0,1.0,1.0,1.0,5.0,yes,Detractor
44,9,Solo Leisure,Economy Class,5.0,5.0,4.0,1.0,0.0,1.0,5.0,yes,Promoter
45,8,Solo Leisure,Business Class,4.0,4.0,3.0,1.0,1.0,1.0,4.0,yes,Passive
46,4,Solo Leisure,Economy Class,4.0,2.0,1.0,1.0,2.0,1.0,2.0,no,Detractor
47,9,Solo Leisure,Economy Class,4.0,4.0,3.0,1.0,3.0,1.0,4.0,yes,Promoter
48,5,Solo Leisure,Economy Class,4.0,4.0,1.0,1.0,0.0,1.0,3.0,yes,Detractor
49,9,Solo Leisure,Economy Class,5.0,5.0,4.0,1.0,3.0,1.0,4.0,yes,Promoter
50,8,Solo Leisure,Business Class,4.0,3.0,4.0,1.0,1.0,1.0,4.0,yes,Passive
51,1,Solo Leisure,Economy Class,5.0,5.0,4.0,1.0,4.0,1.0,4.0,yes,Detractor
52,9,Solo Leisure,Economy Class,4.0,4.0,4.0,1.0,4.0,1.0,4.0,yes,Promoter
53,7,Solo Leisure,Economy Class,4.0,5.0,3.0,1.0,3.0,1.0,5.0,yes,Passive
54,8,Solo Leisure,Economy Class,4.0,4.0,4.0,1.0,0.0,1.0,4.0,yes,Passive
55,7,Solo Leisure,Business Class,3.0,3.0,4.0,1.0,1.0,1.0,4.0,yes,Passive
56,7,Solo Leisure,Business Class,2.0,5.0,4.0,1.0,0.0,1.0,4.0,yes,Passive
57,5,Solo Leisure,Economy Class,4.0,4.0,1.0,1.0,0.0,1.0,4.0,yes,Detractor
58,9,Solo Leisure,Economy Class,4.0,5.0,4.0,1.0,0.0,1.0,2.0,yes,Promoter
59,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Detractor
60,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Detractor
61,8,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,yes,Passive
62,9,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Promoter
63,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
64,9,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Promoter
65,9,Solo Leisure,Business Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Promoter
66,1,Solo Leisure,Business Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Detractor
67,7,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,yes,Passive
68,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
69,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
70,6,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,yes,Detractor
71,7,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Passive
72,5,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,4.0,yes,Detractor
73,3,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
74,4,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
75,4,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
76,4,Solo Leisure,Economy Class,3.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Detractor
