Unnamed: 0,Overall_Rating,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
0,9,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,,,3.0,yes
1,1,Solo Leisure,Economy Class,2.0,2.0,1.0,1.0,,,2.0,no
2,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,,,2.0,no
3,1,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
4,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
5,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
6,1,Business,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
7,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
8,1,Solo Leisure,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no
9,8,Family Leisure,Economy Class,4.0,4.0,3.0,5.0,,,5.0,yes
10,1,Business,Economy Class,2.0,1.0,,1.0,1.0,1.0,1.0,no
11,1,Family Leisure,Economy Class,4.0,1.0,1.0,4.0,,,1.0,no
12,2,Solo Leisure,Economy Class,3.0,3.0,,3.0,,,2.0,no
13,2,Business,Economy Class,1.0,2.0,2.0,2.0,,,1.0,no
14,3,Couple Leisure,Economy Class,3.0,3.0,,1.0,,,1.0,no
15,1,Business,Economy Class,5.0,5.0,5.0,5.0,,,5.0,yes
16,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
17,3,Solo Leisure,Economy Class,2.0,4.0,1.0,1.0,,,3.0,no
18,9,Business,Economy Class,5.0,5.0,3.0,5.0,,,3.0,yes
19,2,Couple Leisure,Economy Class,3.0,3.0,,1.0,,,1.0,no
20,2,Family Leisure,Economy Class,3.0,4.0,1.0,1.0,,1.0,2.0,no
21,9,Business,Economy Class,5.0,5.0,4.0,5.0,4.0,,4.0,yes
22,8,Solo Leisure,Business Class,5.0,5.0,4.0,5.0,5.0,5.0,4.0,yes
23,1,Business,Economy Class,5.0,5.0,,5.0,,,4.0,yes
24,8,Solo Leisure,Business Class,4.0,4.0,3.0,3.0,,,4.0,yes
25,5,Business,Economy Class,3.0,5.0,1.0,4.0,3.0,3.0,1.0,no
26,2,Solo Leisure,Economy Class,1.0,1.0,2.0,3.0,1.0,,1.0,no
27,3,Solo Leisure,Economy Class,3.0,1.0,1.0,2.0,2.0,,2.0,no
28,3,Couple Leisure,Economy Class,2.0,2.0,,4.0,,,4.0,no
29,6,Family Leisure,Economy Class,2.0,4.0,3.0,3.0,4.0,4.0,4.0,yes
30,3,Couple Leisure,Economy Class,4.0,5.0,,1.0,,,3.0,no
31,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,,,5.0,yes
32,8,Business,Economy Class,4.0,4.0,3.0,5.0,,,4.0,yes
33,1,Solo Leisure,Economy Class,5.0,5.0,,5.0,,,5.0,yes
34,6,Solo Leisure,Economy Class,3.0,2.0,2.0,4.0,2.0,,3.0,yes
35,3,Solo Leisure,Economy Class,2.0,3.0,1.0,3.0,1.0,,1.0,no
36,5,Couple Leisure,Economy Class,3.0,3.0,,3.0,,,2.0,no
37,7,Solo Leisure,Economy Class,5.0,1.0,1.0,5.0,,,5.0,yes
38,9,Business,Business Class,5.0,5.0,5.0,5.0,4.0,,5.0,yes
39,5,Family Leisure,Economy Class,4.0,3.0,,3.0,,,3.0,no
40,6,Family Leisure,Economy Class,4.0,5.0,,5.0,,,2.0,yes
41,1,Family Leisure,Economy Class,5.0,5.0,,5.0,,,4.0,yes
42,7,,Economy Class,4.0,4.0,4.0,,0.0,,4.0,yes
43,1,,Business Class,4.0,5.0,4.0,,1.0,,5.0,yes
44,9,,Economy Class,5.0,5.0,4.0,,0.0,,5.0,yes
45,8,,Business Class,4.0,4.0,3.0,,1.0,,4.0,yes
46,4,,Economy Class,4.0,2.0,1.0,,2.0,,2.0,no
47,9,,Economy Class,4.0,4.0,3.0,,3.0,,4.0,yes
48,5,,Economy Class,4.0,4.0,1.0,,0.0,,3.0,yes
49,9,,Economy Class,5.0,5.0,4.0,,3.0,,4.0,yes
50,8,,Business Class,4.0,3.0,4.0,,1.0,,4.0,yes
51,1,,Economy Class,5.0,5.0,4.0,,4.0,,4.0,yes
52,9,,Economy Class,4.0,4.0,4.0,,4.0,,4.0,yes
53,7,,Economy Class,4.0,5.0,3.0,,3.0,,5.0,yes
54,8,,Economy Class,4.0,4.0,4.0,,0.0,,4.0,yes
55,7,,Business Class,3.0,3.0,4.0,,1.0,,4.0,yes
56,7,,Business Class,2.0,5.0,4.0,,0.0,,4.0,yes
57,5,,Economy Class,4.0,4.0,1.0,,0.0,,4.0,yes
58,9,,Economy Class,4.0,5.0,4.0,,0.0,,2.0,yes
59,5,,Economy Class,,,,,,,4.0,yes
60,5,,Economy Class,,,,,,,4.0,yes
61,8,,Economy Class,,,,,,,1.0,yes
62,9,,Economy Class,,,,,,,4.0,yes
63,5,,Economy Class,,,,,,,1.0,no
64,9,,Economy Class,,,,,,,4.0,yes
65,9,,Business Class,,,,,,,4.0,yes
66,1,,Business Class,,,,,,,4.0,yes
67,7,,Economy Class,,,,,,,1.0,yes
68,5,,Economy Class,,,,,,,1.0,no
69,5,,Economy Class,,,,,,,1.0,no
70,6,,Economy Class,,,,,,,1.0,yes
71,7,,Economy Class,,,,,,,4.0,yes
72,5,,Economy Class,,,,,,,4.0,yes
73,3,,,,,,,,,,no
74,4,,,,,,,,,,no
75,4,,,,,,,,,,no
76,4,,,,,,,,,,no
77,n,,,,,,,,,,no
78,n,,,,,,,,,,no
79,n,,,,,,,,,,no
80,n,,,,,,,,,,no
81,n,,,,,,,,,,no
82,n,,,,,,,,,,no
83,n,,,,,,,,,,no
84,n,,,,,,,,,,no
85,n,,,,,,,,,,no
86,n,,,,,,,,,,no
87,n,,,,,,,,,,no
88,n,,,,,,,,,,no
89,n,,,,,,,,,,no
90,n,,,,,,,,,,no
91,n,,,,,,,,,,no
92,n,,,,,,,,,,no
93,n,,,,,,,,,,no
94,1,Family Leisure,Economy Class,2.0,1.0,1.0,1.0,4.0,2.0,1.0,no
95,1,Couple Leisure,Economy Class,3.0,1.0,3.0,1.0,,,1.0,no
96,4,Family Leisure,Economy Class,2.0,3.0,3.0,2.0,1.0,,2.0,yes
97,4,Couple Leisure,Premium Economy,3.0,2.0,,2.0,,,2.0,no
98,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
99,1,Couple Leisure,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
100,1,Couple Leisure,Economy Class,3.0,3.0,1.0,1.0,,,2.0,no
101,1,Couple Leisure,Economy Class,3.0,3.0,,5.0,,,5.0,yes
102,8,Business,Business Class,3.0,4.0,4.0,3.0,,,4.0,yes
103,4,Business,Economy Class,2.0,4.0,3.0,1.0,,,2.0,no
104,1,Business,Business Class,5.0,5.0,5.0,1.0,,,1.0,no
105,6,Couple Leisure,Economy Class,4.0,3.0,2.0,4.0,,1.0,5.0,yes
106,1,Solo Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
107,2,Couple Leisure,Economy Class,1.0,2.0,1.0,1.0,,,3.0,no
108,9,Couple Leisure,Economy Class,5.0,5.0,5.0,4.0,,,5.0,yes
109,9,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,,,5.0,yes
110,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
111,1,Business,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
112,8,Couple Leisure,Economy Class,4.0,5.0,3.0,5.0,,,5.0,yes
113,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,3.0,4.0,5.0,yes
114,9,Solo Leisure,Economy Class,4.0,5.0,5.0,4.0,,4.0,4.0,yes
115,1,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
116,1,Solo Leisure,Economy Class,3.0,3.0,2.0,1.0,,,2.0,no
117,3,Solo Leisure,Economy Class,4.0,5.0,3.0,1.0,,,3.0,no
118,9,Couple Leisure,Business Class,4.0,5.0,5.0,4.0,4.0,5.0,5.0,yes
119,8,Family Leisure,Business Class,2.0,4.0,3.0,5.0,4.0,5.0,5.0,yes
120,1,Business,Economy Class,3.0,2.0,,1.0,1.0,1.0,1.0,no
121,2,Family Leisure,Economy Class,,,,,,,1.0,no
122,5,Family Leisure,Economy Class,1.0,5.0,2.0,5.0,,1.0,3.0,no
123,1,Couple Leisure,Economy Class,,,,,,,1.0,no
124,1,Family Leisure,Economy Class,1.0,1.0,1.0,1.0,,,1.0,no
125,2,Solo Leisure,Economy Class,1.0,2.0,1.0,2.0,,1.0,2.0,no
126,3,Family Leisure,Economy Class,2.0,3.0,3.0,3.0,3.0,3.0,2.0,no
127,5,Solo Leisure,Economy Class,3.0,3.0,3.0,3.0,1.0,,3.0,no
128,1,Solo Leisure,Economy Class,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
129,1,Family Leisure,Economy Class,4.0,5.0,4.0,1.0,,,1.0,no
130,1,Solo Leisure,Economy Class,5.0,5.0,3.0,5.0,,,5.0,yes
131,1,Family Leisure,Economy Class,2.0,1.0,2.0,3.0,,2.0,3.0,no
132,2,Business,Economy Class,2.0,4.0,3.0,2.0,1.0,1.0,3.0,no
133,1,Solo Leisure,Economy Class,4.0,5.0,4.0,5.0,,5.0,5.0,yes
134,1,Couple Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
135,6,Business,Economy Class,3.0,3.0,3.0,3.0,3.0,,3.0,no
136,1,Couple Leisure,Economy Class,2.0,2.0,,1.0,,,1.0,no
137,1,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
138,5,Solo Leisure,Economy Class,4.0,5.0,3.0,1.0,1.0,,3.0,no
139,1,Couple Leisure,Economy Class,2.0,5.0,2.0,1.0,,,1.0,no
140,5,Family Leisure,Economy Class,5.0,5.0,4.0,4.0,,,3.0,yes
141,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,,,5.0,yes
142,4,Business,Economy Class,3.0,3.0,1.0,4.0,,,2.0,no
143,2,Couple Leisure,Economy Class,3.0,1.0,2.0,2.0,,,3.0,no
144,6,Solo Leisure,Economy Class,2.0,4.0,4.0,4.0,,,3.0,yes
145,2,Couple Leisure,Economy Class,2.0,3.0,,1.0,,,1.0,no
146,2,Couple Leisure,Economy Class,2.0,3.0,3.0,1.0,,,1.0,no
147,1,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,,5.0,yes
148,5,Solo Leisure,Economy Class,3.0,4.0,3.0,1.0,,,1.0,no
149,1,Business,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
150,1,Family Leisure,Economy Class,2.0,2.0,1.0,1.0,,,1.0,no
151,2,Business,Economy Class,3.0,3.0,1.0,1.0,,,1.0,no
152,1,Business,Economy Class,1.0,1.0,,1.0,,,1.0,no
153,1,Couple Leisure,Economy Class,1.0,1.0,,1.0,,,1.0,no
154,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes
155,2,Solo Leisure,Economy Class,3.0,3.0,1.0,3.0,,,2.0,no
156,1,Solo Leisure,Premium Economy,1.0,1.0,,1.0,,,1.0,no
157,1,Solo Leisure,Economy Class,2.0,2.0,,1.0,,,1.0,no
158,9,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,5.0,5.0,yes
159,1,Business,Economy Class,3.0,3.0,3.0,1.0,,,1.0,no
160,7,Couple Leisure,Business Class,4.0,5.0,3.0,1.0,2.0,1.0,1.0,yes
161,1,Solo Leisure,Economy Class,2.0,3.0,1.0,1.0,1.0,1.0,1.0,no
162,1,Solo Leisure,Economy Class,,,,,,,5.0,yes
163,4,Couple Leisure,Premium Economy,4.0,1.0,,4.0,,,3.0,no
